iteration,lag,test_split,max_depth,max_features,rmse,accuracy,f_score,time_train
0,13,0.2,3,sqrt,,0.5312846445589807,0.4147498052649481,5106.301301717758
1,13,0.2,6,sqrt,,0.5313624428668675,0.41485172102579043,4995.963019132614
2,13,0.2,,sqrt,,0.5313786508476773,0.4148871723503964,4985.475777864456
3,13,0.2,3,log2,,0.5312911277513047,0.4147479875823326,4814.922377347946
4,13,0.2,6,log2,,0.5313494764822198,0.4148283095519127,4382.417266368866
5,13,0.2,,log2,,0.5313786508476773,0.4148871723503964,6049.203905582428
6,13,0.2,3,,,0.5312749197704949,0.4147501207546943,4345.377010822296
7,13,0.2,6,,,0.5312846445589807,0.41477086143073655,4610.461022615433
8,13,0.2,,,,0.5313786508476773,0.4148871723503964,4905.782323598862
9,13,0.3,3,sqrt,,0.5321484725965857,0.41569590303816445,6247.819573640823
10,13,0.3,6,sqrt,,0.5321614313359595,0.4157246314648938,6290.443051815033
11,13,0.3,,sqrt,,0.5321722302854377,0.41573345665953426,6302.763694524765
12,13,0.3,3,log2,,0.532152792176377,0.4156963906037388,6231.807526350021
13,13,0.3,6,log2,,0.5321635911258552,0.4157256567330947,6243.986768722534
14,13,0.3,,log2,,0.5321722302854377,0.41573345665953426,8350.312134504318
15,13,0.3,3,,,0.5321376736471075,0.41567954454757733,7775.015895605087
16,13,0.3,6,,,0.5321592715460639,0.4157219308184592,7506.586159706116
17,13,0.3,,,,0.5321722302854377,0.4157286614136977,7935.049580812454
18,13,0.4,3,sqrt,,0.5346641275023237,0.41631881236894897,10383.971525669098
19,13,0.4,6,sqrt,,0.5346770824224405,0.41634601643742253,8363.76925444603
20,13,0.4,,sqrt,,0.534686798612528,0.4163748697586399,8369.850481987
21,13,0.4,3,log2,,0.5346592694072799,0.41630899378616393,8354.915326595306
22,13,0.4,6,log2,,0.5346770824224405,0.4163449393805408,8340.334469079971
23,13,0.4,,log2,,0.5346900373425572,0.4163788258673487,8368.384335279465
24,13,0.4,3,,,0.5346641275023237,0.41632604389586075,8540.343128919601
25,13,0.4,6,,,0.5346770824224405,0.41634847399296715,8635.343715429306
26,13,0.4,,,,0.5346884179775426,0.4163779996903401,8894.173692941666
27,13,0.5,3,sqrt,,0.5326004735481397,0.4160994850684336,10419.98434996605
28,13,0.5,6,sqrt,,0.5326004735481397,0.4160994850684336,10401.475103139877
29,13,0.5,,sqrt,,0.5326004735481397,0.4160994850684336,10442.461507558823
30,13,0.5,3,log2,,0.5326004735481397,0.4160994850684336,10418.827651023865
31,13,0.5,6,log2,,0.5326004735481397,0.4160994850684336,10388.298039913177
32,13,0.5,,log2,,0.5326004735481397,0.4160994850684336,10418.99775481224
33,13,0.5,3,,,0.5326004735481397,0.4160994850684336,10629.073734998703
34,13,0.5,6,,,0.5326004735481397,0.4160994850684336,10559.562337875366
35,13,0.5,,,,0.5326004735481397,0.4160994850684336,10839.27154970169
