iteration,test_split,batch,epoch,layer,stateful,dropout,score,time_train,lag
0,0.2,25,50,1,False,0,0.39761210079674253,15.252800226211548,13
1,0.2,25,50,1,False,0.2,0.39737954394909986,14.977802276611328,13
2,0.2,25,50,1,False,0.4,0.39779556259686893,12.612828969955444,13
0,0.2,25,50,1,False,0,0.4103125211411282,15.572794198989868,13
1,0.2,25,50,1,False,0.2,0.40781388694158266,14.835803985595703,13
2,0.2,25,50,1,False,0.4,0.40736362924432434,12.773844480514526,13
0,0.2,25,50,1,False,0,0.2567783573240307,14.157812595367432,13
1,0.2,25,50,1,False,0.2,0.25563011594904306,14.068388938903809,13
2,0.2,25,50,1,False,0.4,0.25821332693427246,12.550089597702026,13
0,0.2,25,50,1,False,0,0.3629715131669294,15.43379282951355,13
1,0.2,25,50,1,False,0.2,0.3632243987697355,14.803941011428833,13
2,0.2,25,50,1,False,0.4,0.36154691706069503,13.336896657943726,13
0,0.2,25,50,1,False,0,0.31285126734907204,11.63718557357788,13
1,0.2,25,50,1,False,0.2,0.3101467573488823,11.200852870941162,13
2,0.2,25,50,1,False,0.4,0.3042118380180461,9.149879693984985,13
0,0.2,25,50,1,False,0,0.2687209167476155,10.84485650062561,13
1,0.2,25,50,1,False,0.2,0.27163046724037815,10.440861940383911,13
2,0.2,25,50,1,False,0.4,0.26785440731206683,8.59388542175293,13
0,0.2,25,50,1,False,0,0.32254671929698603,10.600860118865967,13
1,0.2,25,50,1,False,0.2,0.3271247118798959,10.344858169555664,13
2,0.2,25,50,1,False,0.4,0.32750725598886354,8.39488935470581,13
0,0.2,25,50,1,False,0,0.2264212737646547,10.480856657028198,13
1,0.2,25,50,1,False,0.2,0.23056309177726755,10.319858074188232,13
2,0.2,25,50,1,False,0.4,0.2294649840699126,8.292885541915894,13
0,0.2,25,50,1,False,0,0.4713120113167912,10.721883773803711,13
1,0.2,25,50,1,False,0.2,0.47288417695196056,10.99185562133789,13
2,0.2,25,50,1,False,0.4,0.47329899179143126,8.893883228302002,13
0,0.2,25,50,1,False,0,0.4363226317777424,11.427848815917969,13
1,0.2,25,50,1,False,0.2,0.4355560259143028,11.119852304458618,13
2,0.2,25,50,1,False,0.4,0.43916315459110195,9.022880554199219,13
0,0.2,25,50,1,False,0,0.35868906308194015,10.301864385604858,13
1,0.2,25,50,1,False,0.2,0.3638867730300503,9.684831380844116,13
2,0.2,25,50,1,False,0.4,0.368986928587067,7.785259246826172,13
0,0.2,25,50,1,False,0,0.30386977150944056,12.324580430984497,13
1,0.2,25,50,1,False,0.2,0.3047887204732573,11.919819831848145,13
2,0.2,25,50,1,False,0.4,0.2775254041733518,9.53125810623169,13
0,0.2,25,50,1,False,0,0.34169464055531734,11.680464029312134,13
1,0.2,25,50,1,False,0.2,0.3412708500770087,11.172845602035522,13
2,0.2,25,50,1,False,0.4,0.34347046029715766,8.962876081466675,13
0,0.2,25,50,1,False,0,0.3908512009900429,11.151842594146729,13
1,0.2,25,50,1,False,0.2,0.34008499323598573,11.07384967803955,13
2,0.2,25,50,1,False,0.4,0.4198933138822813,9.034877300262451,13
0,0.2,25,50,1,False,0,0.39717969884815685,11.459842920303345,13
1,0.2,25,50,1,False,0.2,0.4073883182132967,11.66502594947815,13
2,0.2,25,50,1,False,0.4,0.3981165135119677,9.391871213912964,13
0,0.2,25,50,1,False,0,0.11754012890505881,12.219547986984253,13
1,0.2,25,50,1,False,0.2,0.11294042078421886,11.72484302520752,13
2,0.2,25,50,1,False,0.4,0.11368760597299804,9.457155704498291,13
0,0.2,25,50,1,False,0,0.39362660476928996,12.153833866119385,13
1,0.2,25,50,1,False,0.2,0.38555535734130336,11.744840383529663,13
2,0.2,25,50,1,False,0.4,0.3911316722622005,9.31187391281128,13
0,0.2,25,50,1,False,0,0.37695925649863465,12.03911828994751,13
1,0.2,25,50,1,False,0.2,0.3938083132278079,11.573383092880249,13
2,0.2,25,50,1,False,0.4,0.3718052805359482,9.247877359390259,13
0,0.2,25,50,1,False,0,0.4380102453847525,11.383851528167725,13
1,0.2,25,50,1,False,0.2,0.44553972827366667,11.013850927352905,13
2,0.2,25,50,1,False,0.4,0.44936964868728513,9.062880754470825,13
0,0.2,25,50,1,False,0,0.17755526705449476,11.687844514846802,13
1,0.2,25,50,1,False,0.2,0.18682613722159844,11.241849184036255,13
2,0.2,25,50,1,False,0.4,0.20182441791410102,8.908880949020386,13
0,0.2,25,50,1,False,0,0.2236453314335316,11.864855527877808,13
1,0.2,25,50,1,False,0.2,0.24356147338668124,11.203053951263428,13
2,0.2,25,50,1,False,0.4,0.25377327980570974,8.87187933921814,13
0,0.2,25,50,1,False,0,0.4517966078409074,11.442940950393677,13
1,0.2,25,50,1,False,0.2,0.4286123988204816,11.090874910354614,13
2,0.2,25,50,1,False,0.4,0.44534227371004836,8.744879007339478,13
0,0.2,25,50,1,False,0,0.28007551713341305,11.675840854644775,13
1,0.2,25,50,1,False,0.2,0.27983230823635336,11.43184781074524,13
2,0.2,25,50,1,False,0.4,0.26878546180688595,9.304305791854858,13
0,0.2,25,50,1,False,0,0.22825464472705384,11.413847923278809,13
1,0.2,25,50,1,False,0.2,0.24341760546050803,11.053252458572388,13
2,0.2,25,50,1,False,0.4,0.22923013863559205,8.739883661270142,13
0,0.2,25,50,1,False,0,0.38242691093537956,11.596848487854004,13
1,0.2,25,50,1,False,0.2,0.4032104772866682,11.510632276535034,13
2,0.2,25,50,1,False,0.4,0.42075096610630985,9.062875747680664,13
0,0.2,1,25,1,False,0,0.31140770403672907,20.534727334976196,13
1,0.2,1,25,1,False,0.2,0.3201724243324248,19.553735494613647,13
2,0.2,1,25,1,False,0.4,0.31330370365032123,18.046754837036133,13
0,0.2,1,25,1,False,0,0.4720878080716995,19.52474355697632,13
1,0.2,1,25,1,False,0.2,0.4535761941719028,19.451744556427002,13
2,0.2,1,25,1,False,0.4,0.4608946705439562,17.537972450256348,13
